CO2 (g/s) [estimated maf],CO2 (g/s) [maf],estimated_maf,intake_pressure,intake_temperature,latitude,longitude,maf,rpm,speed
3.0233467652051718,3.1982942430703627,14.179496328812252,91.0,51.0,-5.798923,-35.200085,15.0,1657.0,45.0
2.5875502977263145,2.55863539445629,12.135610896336416,77.0,51.0,-5.798988,-35.200108,12.0,1676.0,46.0
2.4663052441792868,2.55863539445629,11.566971595200854,73.0,51.0,-5.799065,-35.200134,12.0,1685.0,46.0
2.353721983774696,2.345415778251599,11.038956103903326,70.0,51.0,-5.79913,-35.200161,11.0,1677.0,46.0
2.283745923434176,2.345415778251599,10.710768380906284,68.0,51.0,-5.799205,-35.200188,11.0,1675.0,46.0
2.324247826553904,2.55863539445629,10.90072230653781,70.0,51.0,-5.79927,-35.200211,12.0,1656.0,46.0
2.432520240834365,2.55863539445629,11.408519929513172,72.0,51.0,-5.799335,-35.200237,12.0,1685.0,46.0
2.384499420056272,2.345415778251599,11.183302280063916,71.0,51.0,-5.79941,-35.200264,11.0,1675.0,46.0
2.3546042034466117,2.345415778251599,11.043093714164606,71.0,51.0,-5.799474,-35.200287,11.0,1654.0,46.0
2.423858447691928,2.55863539445629,11.367896119675144,72.0,51.0,-5.799538,-35.20031,12.0,1679.0,45.0
2.40797849359746,2.345415778251599,11.293419134972089,72.0,51.0,-5.799612,-35.200336,11.0,1668.0,45.0
2.393542171693399,2.345415778251599,11.225712785242042,72.0,51.0,-5.799676,-35.200359,11.0,1658.0,45.0
2.419968660956667,2.55863539445629,11.349653019886768,74.0,51.0,-5.799739,-35.200382,12.0,1631.0,45.0
2.645636442943073,2.771855010660981,12.408034917403016,81.0,51.0,-5.799802,-35.200409,13.0,1629.0,44.0
2.973882312236672,3.1982942430703627,13.947508044389991,90.0,51.0,-5.799877,-35.200436,15.0,1648.0,45.0
2.926669558912278,3.1982942430703627,13.726080231298583,89.0,50.0,-5.799941,-35.200455,15.0,1635.0,45.0
2.8418551718736014,3.1982942430703627,13.32830075608719,86.0,50.0,-5.800005,-35.200481,15.0,1643.0,46.0
3.311260668457828,3.624733475479744,15.529812535067212,99.0,50.0,-5.800079,-35.200508,17.0,1663.0,45.0
